292,Dislocation of the ankle,Ankle pain,,Ankle swelling,,Foot or toe pain,,Eye strain,,Elbow weakness,,Elbow cramps or spasms,,Wrist weakness,,Feeling hot and cold,,Low back weakness,,Underweight,,Emotional symptoms,,Muscle swelling,,Dislocation of the ankle," application of splint, "," intravenous fluid replacement, "," cardiac monitoring, "," psychological and psychiatric evaluation and therapy, ",traction; splints; and other wound care and,examination of foot,".,[{commonTestsAndProceduresRadiographic imaging procedure,{commonTestsAndProceduresPlain x-ray (X ray),{commonTestsAndProceduresApplication of splint (Splinting),{commonTestsAndProceduresIntravenous fluid replacement,{commonTestsAndProceduresCardiac monitoring (Cardiac monitor),{commonTestsAndProceduresPsychological and psychiatric evaluation and therapy,{commonTestsAndProceduresTraction; splints; and other wound care,{commonTestsAndProceduresExamination of foot],The most commonly prescribed drugs for patients with dislocation of the ankle include","percocet,"," fentanyl, "," hydromorphone (dilaudid), "," morphine (rms), "," glucosamine, "," propofol, "," cefazolin, "," diphtheria toxoid vaccine / tetanus toxoid vaccine, "," midazolam (versed), "," chlorpheniramine / phenindamine / phenylpropanolamine, "," mecamylamine, ",grepafloxacin (raxar) and,malathion topical,".,[{commonMedicationsPercocet,{commonMedicationsFentanyl,{commonMedicationsHydromorphone (Dilaudid),{commonMedicationsMorphine (Rms),{commonMedicationsGlucosamine,{commonMedicationsPropofol,{commonMedicationsCefazolin,{commonMedicationsMidazolam (Versed),{commonMedicationsMecamylamine,{commonMedicationsGrepafloxacin (Raxar),{commonMedicationsMalathion Topical],Groups of people at highest risk for dislocation of the ankle include ","race/ethnicity = hispanic,",sex == male and,age 5-14 years.,"On the other hand, age 75+ years and age 1-4 years almost never get dislocation of the ankle.,Within all the people who go to their doctor with dislocation of the ankle, 86% report having ankle pain, 56% report having ankle swelling, and 38% report having foot or toe pain. ","The symptoms that are highly suggestive of dislocation of the ankle are ankle pain, ankle swelling, eye strain, elbow weakness, elbow cramps or spasms, wrist weakness, feeling hot and cold, low back weakness, underweight, emotional symptoms, and muscle swelling, although you may still have dislocation of the ankle without those symptoms.",,,,,,,
293,Carbon monoxide poisoning,Headache,,Nausea,,Dizziness,,Vomiting,,Diarrhea,,Depressive or psychotic symptoms,,Sleepiness,,Frontal headache,,Fainting,,Low back weakness,,Emotional symptoms,,Elbow cramps or spasms,,Carbon monoxide poisoning," glucose measurement, "," electrocardiogram, "," kidney function tests, "," cardiac enzymes measurement, ",blood alcohol and,toxicology screen,".,[{commonTestsAndProceduresHematologic tests (Blood test),{commonTestsAndProceduresArterial blood gases (ABGs),{commonTestsAndProceduresGlucose measurement (Glucose level),{commonTestsAndProceduresElectrocardiogram,{commonTestsAndProceduresKidney function tests (Kidney function test),{commonTestsAndProceduresCardiac enzymes measurement (Cardiac enzymes test),{commonTestsAndProceduresBlood alcohol,{commonTestsAndProceduresToxicology screen],The most commonly prescribed drugs for patients with carbon monoxide poisoning include","oxygen,"," simethicone (degas), "," chlorpheniramine / phenindamine / phenylpropanolamine, "," mecamylamine, "," grepafloxacin (raxar), "," malathion topical, "," gemtuzumab (mylotarg), "," gadoteridol (prohance), "," carbinoxamine / dextromethorphan / phenylephrine, "," devil's claw preparation, "," isocarboxazid (marplan), ",medrysone ophthalmic and,magnesium lactate,".,[{commonMedicationsOxygen,{commonMedicationsSimethicone (Degas),{commonMedicationsMecamylamine,{commonMedicationsGrepafloxacin (Raxar),{commonMedicationsMalathion Topical,{commonMedicationsGemtuzumab (Mylotarg),{commonMedicationsGadoteridol (Prohance),{commonMedicationsDevil'S Claw Preparation,{commonMedicationsIsocarboxazid (Marplan),{commonMedicationsMedrysone Ophthalmic,{commonMedicationsMagnesium Lactate],Groups of people at highest risk for carbon monoxide poisoning include ","age 5-14 years,",age 1-4 years and,race/ethnicity = black.,"On the other hand, age 75+ years and age 60-74 years almost never get carbon monoxide poisoning.,Within all the people who go to their doctor with carbon monoxide poisoning, 81% report having headache, 72% report having nausea, and 53% report having dizziness. ","The symptoms that are highly suggestive of carbon monoxide poisoning are frontal headache, low back weakness, emotional symptoms, and elbow cramps or spasms, although you may still have carbon monoxide poisoning without those symptoms.",,,,,,,
294,Panic attack,Shortness of breath,,Dizziness,,Sharp chest pain,,Loss of sensation,,Breathing fast,,Anxiety and nervousness,,Fainting,,Chest tightness,,Difficulty breathing,,Irregular heartbeat,,Headache,,Weakness,,Panic attack," complete blood count, "," radiographic imaging procedure, "," plain x-ray, "," kidney function tests, ",glucose measurement and,intravenous fluid replacement,".,[{commonTestsAndProceduresElectrocardiogram,{commonTestsAndProceduresHematologic tests (Blood test),{commonTestsAndProceduresComplete blood count (Cbc),{commonTestsAndProceduresRadiographic imaging procedure,{commonTestsAndProceduresPlain x-ray (X ray),{commonTestsAndProceduresKidney function tests (Kidney function test),{commonTestsAndProceduresGlucose measurement (Glucose level),{commonTestsAndProceduresIntravenous fluid replacement],The most commonly prescribed drugs for patients with panic attack include","lorazepam,"," sodium salicylate, "," etanercept (enbrel), "," varenicline (chantix), "," oxymetazoline nasal, "," etodolac, "," felodipine, "," rosiglitazone (avandia), "," pseudoephedrine (pcm-la), "," chlorpheniramine / phenindamine / phenylpropanolamine, "," mecamylamine, ",grepafloxacin (raxar) and,malathion topical,".,[{commonMedicationsLorazepam,{commonMedicationsSodium Salicylate,{commonMedicationsEtanercept (Enbrel),{commonMedicationsVarenicline (Chantix),{commonMedicationsOxymetazoline Nasal,{commonMedicationsEtodolac,{commonMedicationsFelodipine,{commonMedicationsRosiglitazone (Avandia),{commonMedicationsPseudoephedrine (Pcm-La),{commonMedicationsMecamylamine,{commonMedicationsGrepafloxacin (Raxar),{commonMedicationsMalathion Topical],Groups of people at highest risk for panic attack include ","race/ethnicity = other,",race/ethnicity = hispanic and,age 15-29 years.,"On the other hand, age 75+ years, age 1-4 years, and age < 1 years almost never get panic attack.,Within all the people who go to their doctor with panic attack, 77% report having shortness of breath, 67% report having dizziness, and 67% report having sharp chest pain. ","The symptoms that are highly suggestive of panic attack are loss of sensation, breathing fast, fainting, chest tightness, and irregular heartbeat, although you may still have panic attack without those symptoms.",,,,,,,
295,Plantar fasciitis,Foot or toe pain,,Ankle pain,,Knee pain,,Ankle swelling,,Problems with movement,,Foot or toe swelling,,Lower body pain,,Bones are painful,,Change in skin mole size or color,,Foot or toe cramps or spasms,,Itchy scalp,,Muscle pain,,Plantar fasciitis," examination of foot, "," physical therapy exercises, "," application of splint, "," lipid panel, ",other therapeutic procedures and,rectal examination,".,[{commonTestsAndProceduresRadiographic imaging procedure,{commonTestsAndProceduresPlain x-ray (X ray),{commonTestsAndProceduresExamination of foot,{commonTestsAndProceduresPhysical therapy exercises (Exercises),{commonTestsAndProceduresApplication of splint (Splinting),{commonTestsAndProceduresLipid panel,{commonTestsAndProceduresOther therapeutic procedures,{commonTestsAndProceduresRectal examination],The most commonly prescribed drugs for patients with plantar fasciitis include","triamcinolone topical product,"," etodolac, "," nabumetone, "," indomethacin, "," betamethasone topical product, "," acetaminophen / tramadol, "," zolmitriptan (zomig), "," estrogens, conjugated (usp) / medroxyprogesterone, "," selenium sulfide topical, "," cortisone, "," angelica sinensis preparation (toki), "," estrogens, esterified (usp) / methyltestosterone and ",trolamine salicylate topical,".,[{commonMedicationsTriamcinolone Topical Product,{commonMedicationsEtodolac,{commonMedicationsNabumetone,{commonMedicationsIndomethacin,{commonMedicationsBetamethasone Topical Product,{commonMedicationsZolmitriptan (Zomig),{commonMedicationsSelenium Sulfide Topical,{commonMedicationsCortisone,{commonMedicationsAngelica Sinensis Preparation (Toki),{commonMedicationsTrolamine Salicylate Topical],Groups of people at highest risk for plantar fasciitis include ",age 30-44 years,age 45-59 years.,"On the other hand, age 1-4 years and age < 1 years almost never get plantar fasciitis.,Within all the people who go to their doctor with plantar fasciitis, 95% report having foot or toe pain, 36% report having ankle pain, and 24% report having knee pain. ","The symptoms that are highly suggestive of plantar fasciitis are foot or toe pain, change in skin mole size or color, foot or toe cramps or spasms, and itchy scalp, although you may still have plantar fasciitis without those symptoms.",,,,,,,,
296,Hyperopia,Diminished vision,,Symptoms of eye,,Abnormal movement of eyelid,,Itchiness of eye,,Pain in eye,,Eye deviation,,Spots or clouds in vision,,Eye redness,,Eye moves abnormally,,Blindness,,Neck cramps or spasms,,Difficulty speaking,,Hyperopia," ophthalmic examination and evaluation, "," lens and cataract procedures, ",referral to home health care service and,other extraocular muscle and orbit therapeutic procedures,".,[{commonTestsAndProceduresOphthalmologic and otologic diagnosis and treatment,{commonTestsAndProceduresOther therapeutic procedures on eyelids; conjunctiva; cornea,{commonTestsAndProceduresOphthalmic examination and evaluation (Eye exam),{commonTestsAndProceduresLens and cataract procedures,{commonTestsAndProceduresReferral to home health care service,{commonTestsAndProceduresOther extraocular muscle and orbit therapeutic procedures],The most commonly prescribed drugs for patients with hyperopia include "," tropicamide ophthalmic, "," phenylephrine (duramax), "," cyclopentolate ophthalmic, ","atropine (uaa),","proparacaine ophthalmic,"," fluorescein, "," nepafenac ophthalmic, "," dexamethasone-tobramycin ophthalmic, "," cyclopentolate-phenylephrine ophthalmic, "," azelastine ophthalmic, "," fluorometholone ophthalmic, ",benzylpenicilloyl polylysine (pre-pen) and,brimonidine-timolol ophthalmic,".,[{commonMedicationsTropicamide Ophthalmic,{commonMedicationsPhenylephrine (Duramax),{commonMedicationsCyclopentolate Ophthalmic,{commonMedicationsAtropine (Uaa),{commonMedicationsProparacaine Ophthalmic,{commonMedicationsFluorescein,{commonMedicationsNepafenac Ophthalmic,{commonMedicationsDexamethasone-Tobramycin Ophthalmic,{commonMedicationsCyclopentolate-Phenylephrine Ophthalmic,{commonMedicationsAzelastine Ophthalmic,{commonMedicationsFluorometholone Ophthalmic,{commonMedicationsBenzylpenicilloyl Polylysine (Pre-Pen),{commonMedicationsBrimonidine-Timolol Ophthalmic],Groups of people at highest risk for hyperopia include ","race/ethnicity = other,","age 5-14 years,",age 1-4 years and,"age < 1 years.,Within all the people who go to their doctor with hyperopia, 70% report having diminished vision, 24% report having abnormal movement of eyelid, and 24% report having symptoms of eye. ","The symptoms that are highly suggestive of hyperopia are diminished vision, abnormal movement of eyelid, itchiness of eye, eye deviation, spots or clouds in vision, eye moves abnormally, and neck cramps or spasms, although you may still have hyperopia without those symptoms.",,,,,,,,,
297,Poisoning due to sedatives,Depressive or psychotic symptoms,,Sleepiness,,Depression,,Insomnia,,Abusing alcohol,,Delusions or hallucinations,,Drug abuse,,Problems with movement,,Hostile behavior,,Slurring words,,Excessive anger,,Disturbance of memory,,Poisoning due to sedatives," kidney function tests, "," urinalysis, "," intravenous fluid replacement, "," electrocardiogram, ",glucose measurement and,toxicology screen,".,[{commonTestsAndProceduresHematologic tests (Blood test),{commonTestsAndProceduresComplete blood count (Cbc),{commonTestsAndProceduresKidney function tests (Kidney function test),{commonTestsAndProceduresUrinalysis,{commonTestsAndProceduresIntravenous fluid replacement,{commonTestsAndProceduresElectrocardiogram,{commonTestsAndProceduresGlucose measurement (Glucose level),{commonTestsAndProceduresToxicology screen],The most commonly prescribed drugs for patients with poisoning due to sedatives include","charcoal,"," naloxone (suboxone), "," haloperidol, "," flumazenil, "," thiamine, "," nicotine, "," charcoal-sorbitol, "," sorbitol, "," ferrous sulfate, "," acetylcysteine, "," dopamine, ",cefprozil and,chlordiazepoxide,".,[{commonMedicationsCharcoal,{commonMedicationsNaloxone (Suboxone),{commonMedicationsHaloperidol,{commonMedicationsFlumazenil,{commonMedicationsThiamine,{commonMedicationsNicotine,{commonMedicationsCharcoal-Sorbitol,{commonMedicationsSorbitol,{commonMedicationsFerrous Sulfate,{commonMedicationsAcetylcysteine,{commonMedicationsDopamine,{commonMedicationsCefprozil,{commonMedicationsChlordiazepoxide],Groups of people at highest risk for poisoning due to sedatives include ",age 30-44 years,age 45-59 years.,"On the other hand, age 5-14 years and age < 1 years almost never get poisoning due to sedatives.,Within all the people who go to their doctor with poisoning due to sedatives, 68% report having depressive or psychotic symptoms, 31% report having sleepiness, and 27% report having depression. ","The symptoms that are highly suggestive of poisoning due to sedatives are sleepiness, although you may still have poisoning due to sedatives without those symptoms.",,,,,,,,
298,Pemphigus,Skin lesion,,Skin rash,,Abnormal appearing skin,,Itching of skin,,Skin irritation,,Irregular appearing scalp,,Arm pain,,Mouth ulcer,,Foot or toe pain,,Peripheral edema,,Mouth pain,,Hand or finger pain,,Pemphigus," excision, "," excision of skin lesion, "," other diagnostic procedures on skin and subcutaneous tissue, "," magnetic resonance imaging, ",diagnostic procedures on nose; mouth and pharynx and,other therapeutic procedures,".,[{commonTestsAndProceduresComplete physical skin exam performed (ML),{commonTestsAndProceduresBiopsy,{commonTestsAndProceduresExcision (Removal),{commonTestsAndProceduresExcision of skin lesion,{commonTestsAndProceduresOther diagnostic procedures on skin and subcutaneous tissue,{commonTestsAndProceduresMagnetic resonance imaging (Mri),{commonTestsAndProceduresDiagnostic procedures on nose; mouth and pharynx,{commonTestsAndProceduresOther therapeutic procedures],The most commonly prescribed drugs for patients with pemphigus include","prednisone,"," azathioprine, "," clobetasol topical, "," mycophenolate mofetil (cellcept), "," triamcinolone, "," dapsone, "," fluocinonide topical, "," minocycline, "," oxybutynin, "," mupirocin topical, "," miglustat (zavesca), ",nitrofurazone topical and,methazolamide (mzm),".,[{commonMedicationsPrednisone,{commonMedicationsAzathioprine,{commonMedicationsClobetasol Topical,{commonMedicationsMycophenolate Mofetil (Cellcept),{commonMedicationsTriamcinolone,{commonMedicationsDapsone,{commonMedicationsFluocinonide Topical,{commonMedicationsMinocycline,{commonMedicationsOxybutynin,{commonMedicationsMupirocin Topical,{commonMedicationsMiglustat (Zavesca),{commonMedicationsNitrofurazone Topical,{commonMedicationsMethazolamide (Mzm)],Groups of people at highest risk for pemphigus include ","race/ethnicity = other,",age 75+ years and,age 60-74 years.,"On the other hand, age 15-29 years and age < 1 years almost never get pemphigus.,Within all the people who go to their doctor with pemphigus, 54% report having skin lesion, 54% report having skin rash, and 47% report having abnormal appearing skin. ","The symptoms that are highly suggestive of pemphigus are skin irritation, irregular appearing scalp, mouth ulcer, and mouth pain, although you may still have pemphigus without those symptoms.",,,,,,,
299,Peyronie disease,Impotence,,Penis pain,,Symptoms of prostate,,Mass in scrotum,,Frequent urination,,Sweating,,Infertility,,Lower abdominal pain,,Blood in urine,,Warts,,Bumps on penis,,Emotional symptoms,,Peyronie disease," prostate specific antigen measurement, "," complete physical skin exam performed (ml), "," other diagnostic procedures (interview; evaluation; consultation), "," depression screen, ",other or therapeutic procedures; male genital and,endoscopy and endoscopic biopsy of the urinary tract,".,[{commonTestsAndProceduresUrinalysis,{commonTestsAndProceduresRectal examination,{commonTestsAndProceduresProstate specific antigen measurement (Prostate specific antigen test),{commonTestsAndProceduresComplete physical skin exam performed (ML),{commonTestsAndProceduresOther diagnostic procedures (interview; evaluation; consultation),{commonTestsAndProceduresDepression screen (Depression screening),{commonTestsAndProceduresOther OR therapeutic procedures; male genital,{commonTestsAndProceduresEndoscopy and endoscopic biopsy of the urinary tract],The most commonly prescribed drugs for patients with peyronie disease include","vitamin e (vita-e),"," pentoxifylline, "," sildenafil (viagra), "," verapamil (univer), "," tamsulosin (flomax), "," olmesartan (benicar), "," fenofibrate (tricor), "," potassium aminobenzoate (potaba), "," hydrochlorothiazide / propranolol, "," quinidine, "," halobetasol topical, ",indapamide and,alfuzosin (uroxatral),".,[{commonMedicationsVitamin E (Vita-E),{commonMedicationsPentoxifylline,{commonMedicationsSildenafil (Viagra),{commonMedicationsVerapamil (Univer),{commonMedicationsTamsulosin (Flomax),{commonMedicationsOlmesartan (Benicar),{commonMedicationsFenofibrate (Tricor),{commonMedicationsPotassium Aminobenzoate (Potaba),{commonMedicationsQuinidine,{commonMedicationsHalobetasol Topical,{commonMedicationsIndapamide,{commonMedicationsAlfuzosin (Uroxatral)],Groups of people at highest risk for peyronie disease include ","sex == male,",age 60-74 years and,age 45-59 years.,"On the other hand, race/ethnicity = other, age 5-14 years, age 1-4 years, sex == female, and age < 1 years almost never get peyronie disease.,Within all the people who go to their doctor with peyronie disease, 67% report having impotence, 58% report having penis pain, and 34% report having symptoms of prostate. ","The symptoms that are highly suggestive of peyronie disease are impotence, penis pain, symptoms of prostate, mass in scrotum, sweating, infertility, warts, bumps on penis, and emotional symptoms, although you may still have peyronie disease without those symptoms.",,,,,,,
300,Hiatal hernia,Sharp abdominal pain,,Sharp chest pain,,Nausea,,Vomiting,,Difficulty in swallowing,,Burning abdominal pain,,Dizziness,,Heartburn,,Back pain,,Upper abdominal pain,,Vomiting blood,,Regurgitation,,Hiatal hernia," glucose measurement, "," electrolytes panel, "," electrocardiogram, "," kidney function tests, ",intravenous fluid replacement and,biopsy,".,[{commonTestsAndProceduresHematologic tests (Blood test),{commonTestsAndProceduresComplete blood count (Cbc),{commonTestsAndProceduresGlucose measurement (Glucose level),{commonTestsAndProceduresElectrolytes panel,{commonTestsAndProceduresElectrocardiogram,{commonTestsAndProceduresKidney function tests (Kidney function test),{commonTestsAndProceduresIntravenous fluid replacement,{commonTestsAndProceduresBiopsy],The most commonly prescribed drugs for patients with hiatal hernia include","midazolam (versed),"," pantoprazole, "," fentanyl, "," meperidine (demerol), "," sucralfate (carafate), "," raloxifene (evista), "," atropine / hyoscyamine / phenobarbital / scopolamine, "," dexlansoprazole (dexilant), "," mesalamine (asacol), "," thyroid (usp) (armour thyroid), "," azelastine nasal, ",tetracycline and,simethicone (degas),".,[{commonMedicationsMidazolam (Versed),{commonMedicationsPantoprazole,{commonMedicationsFentanyl,{commonMedicationsMeperidine (Demerol),{commonMedicationsSucralfate (Carafate),{commonMedicationsRaloxifene (Evista),{commonMedicationsDexlansoprazole (Dexilant),{commonMedicationsMesalamine (Asacol),{commonMedicationsThyroid (Usp) (Armour Thyroid),{commonMedicationsAzelastine Nasal,{commonMedicationsTetracycline,{commonMedicationsSimethicone (Degas)],Groups of people at highest risk for hiatal hernia include ",age 75+ years,age 60-74 years.,"On the other hand, age 5-14 years and age < 1 years almost never get hiatal hernia.,Within all the people who go to their doctor with hiatal hernia, 63% report having sharp abdominal pain, 48% report having sharp chest pain, and 45% report having nausea. ","The symptoms that are highly suggestive of hiatal hernia are difficulty in swallowing, heartburn, and vomiting blood, although you may still have hiatal hernia without those symptoms.",,,,,,,,
301,Extrapyramidal effect of drugs,Abnormal involuntary movements,,Seizures,,Anxiety and nervousness,,Disturbance of memory,,Nausea,,Cramps and spasms,,Problems with movement,,Headache,,Delusions or hallucinations,,Restlessness,,Neck stiffness or tightness,,Arm stiffness or tightness,,Extrapyramidal effect of drugs," psychotherapy, "," mental health counseling, "," cat scan of head, "," electroencephalogram (eeg), ",physical therapy exercises and,psychological and psychiatric evaluation and therapy,".,[{commonTestsAndProceduresIntravenous fluid replacement,{commonTestsAndProceduresMagnetic resonance imaging (Mri),{commonTestsAndProceduresPsychotherapy,{commonTestsAndProceduresMental health counseling,{commonTestsAndProceduresCAT scan of head (Head ct),{commonTestsAndProceduresElectroencephalogram (EEG) (Eeg),{commonTestsAndProceduresPhysical therapy exercises (Exercises),{commonTestsAndProceduresPsychological and psychiatric evaluation and therapy],The most commonly prescribed drugs for patients with extrapyramidal effect of drugs include","clonazepam,"," benztropine, "," carbidopa / levodopa, "," pramipexole (mirapex), "," baclofen, "," donepezil (aricept), "," levetiracetam (keppra), "," trihexyphenidyl (artane), "," propranolol, "," amantadine, "," haloperidol, ",botulinum toxin type a (botox) and,ropinirole,".,[{commonMedicationsClonazepam,{commonMedicationsBenztropine,{commonMedicationsPramipexole (Mirapex),{commonMedicationsBaclofen,{commonMedicationsDonepezil (Aricept),{commonMedicationsLevetiracetam (Keppra),{commonMedicationsTrihexyphenidyl (Artane),{commonMedicationsPropranolol,{commonMedicationsAmantadine,{commonMedicationsHaloperidol,{commonMedicationsBotulinum Toxin Type A (Botox),{commonMedicationsRopinirole],Groups of people at highest risk for extrapyramidal effect of drugs include ","age 75+ years.,Within all the people who go to their doctor with extrapyramidal effect of drugs, 66% report having abnormal involuntary movements, 41% report having seizures, and 31% report having anxiety and nervousness. ","The symptoms that are highly suggestive of extrapyramidal effect of drugs are abnormal involuntary movements, disturbance of memory, cramps and spasms, restlessness, neck stiffness or tightness, and arm stiffness or tightness, although you may still have extrapyramidal effect of drugs without those symptoms.",,,,,,,,,,
302,Meniere disease,Dizziness,,Diminished hearing,,Ringing in ear,,Plugged feeling in ear,,Ear pain,,Nausea,,Headache,,Allergic reaction,,Heartburn,,Impotence,,Facial pain,,Bleeding from ear,,Meniere disease," magnetic resonance imaging, "," other or therapeutic nervous system procedures, "," other therapeutic ear procedures, "," other or therapeutic procedures; male genital, ",diagnostic procedures on ear and,other diagnostic radiology and related techniques,".,[{commonTestsAndProceduresOphthalmologic and otologic diagnosis and treatment,{commonTestsAndProceduresOther diagnostic procedures (interview; evaluation; consultation),{commonTestsAndProceduresMagnetic resonance imaging (Mri),{commonTestsAndProceduresOther OR therapeutic nervous system procedures,{commonTestsAndProceduresOther therapeutic ear procedures,{commonTestsAndProceduresOther OR therapeutic procedures; male genital,{commonTestsAndProceduresDiagnostic procedures on ear,{commonTestsAndProceduresOther diagnostic radiology and related techniques],The most commonly prescribed drugs for patients with meniere disease include","hydrochlorothiazide / triamterene,"," meclizine, "," estrogens, conjugated (usp) (premarin), "," triamterene, "," hyoscyamine (a-spas), "," yohimbine, "," dimenhydrinate (dramamine), "," trandolapril, "," dipyridamole, "," pancreatin, "," chlorthalidone, ",sulindac and,calcium-vitamin d,".,[{commonMedicationsMeclizine,{commonMedicationsEstrogens, Conjugated (Usp) (Premarin),{commonMedicationsTriamterene,{commonMedicationsHyoscyamine (A-Spas),{commonMedicationsYohimbine,{commonMedicationsDimenhydrinate (Dramamine),{commonMedicationsTrandolapril,{commonMedicationsDipyridamole,{commonMedicationsPancreatin,{commonMedicationsChlorthalidone,{commonMedicationsSulindac,{commonMedicationsCalcium-Vitamin D],Groups of people at highest risk for meniere disease include ",age 60-74 years,age 45-59 years.,"On the other hand, age 5-14 years, age 1-4 years, and age < 1 years almost never get meniere disease.,Within all the people who go to their doctor with meniere disease, 84% report having dizziness, 66% report having diminished hearing, and 52% report having ringing in ear. ","The symptoms that are highly suggestive of meniere disease are dizziness, diminished hearing, ringing in ear, plugged feeling in ear, and bleeding from ear, although you may still have meniere disease without those symptoms.",,,,,,,,
303,Anal fissure,Rectal bleeding,,Pain of the anus,,Blood in stool,,Constipation,,Sharp abdominal pain,,Changes in stool appearance,,Lower body pain,,Irregular belly button,,Cramps and spasms,,Vaginal dryness,,Symptoms of prostate,,Itchiness of eye,,Anal fissure," excision, "," colonoscopy and biopsy, "," other or lower gi therapeutic procedures, "," proctoscopy and anorectal biopsy, ",referral to home health care service and,pap smear,".,[{commonTestsAndProceduresRectal examination,{commonTestsAndProceduresSigmoidoscopy or colonoscopy,{commonTestsAndProceduresExcision (Removal),{commonTestsAndProceduresColonoscopy and biopsy,{commonTestsAndProceduresOther OR lower GI therapeutic procedures,{commonTestsAndProceduresProctoscopy and anorectal biopsy,{commonTestsAndProceduresReferral to home health care service,{commonTestsAndProceduresPap smear],The most commonly prescribed drugs for patients with anal fissure include","docusate (colace),"," hydrocortisone topical, "," polyethylene glycol 3350 (miralax), "," psyllium, "," magnesium sulfate, "," sodium citrate, "," pramoxine topical, "," methylcellulose (citrucel), "," glycerin (fleet), "," terbinafine topical, "," emtricitabine-tenofovir, ",bisacodyl (the magic bullet) and,atropine / diphenoxylate,".,[{commonMedicationsDocusate (Colace),{commonMedicationsHydrocortisone Topical,{commonMedicationsPolyethylene Glycol 3350 (Miralax),{commonMedicationsPsyllium,{commonMedicationsMagnesium Sulfate,{commonMedicationsSodium Citrate,{commonMedicationsPramoxine Topical,{commonMedicationsMethylcellulose (Citrucel),{commonMedicationsGlycerin (Fleet),{commonMedicationsTerbinafine Topical,{commonMedicationsEmtricitabine-Tenofovir,{commonMedicationsBisacodyl (The Magic Bullet)],Groups of people at highest risk for anal fissure include ","age < 1 years.,Within all the people who go to their doctor with anal fissure, 80% report having rectal bleeding, 75% report having pain of the anus, and 65% report having blood in stool. ","The symptoms that are highly suggestive of anal fissure are rectal bleeding, pain of the anus, blood in stool, constipation, changes in stool appearance, irregular belly button , and vaginal dryness, although you may still have anal fissure without those symptoms.",,,,,,,,,,
304,Allergy,Skin rash,,Allergic reaction,,Itching of skin,,Peripheral edema,,Abnormal appearing skin,,Cough,,Swollen eye,,Lip swelling,,Skin swelling,,Itchiness of eye,,Fluid retention,,Swollen tongue,,Allergy,other diagnostic procedures on skin and subcutaneous tissue and,routine chest x-ray,".,[{commonTestsAndProceduresComplete physical skin exam performed (ML),{commonTestsAndProceduresNebulizer therapy,{commonTestsAndProceduresOther diagnostic procedures on skin and subcutaneous tissue,{commonTestsAndProceduresRoutine chest X-ray],The most commonly prescribed drugs for patients with allergy include "," diphenhydramine (benadryl), "," prednisone, "," methylprednisolone (medrol), "," famotidine, "," hydroxyzine, "," epinephrine, "," cetirizine (zyrtec), ","prednisolone,","cimetidine,"," levocetirizine (xyzal), "," colloidal oatmeal topical, ",calamine topical and,ticlopidine,".,[{commonMedicationsDiphenhydramine (Benadryl),{commonMedicationsPrednisone,{commonMedicationsMethylprednisolone (Medrol),{commonMedicationsFamotidine,{commonMedicationsHydroxyzine,{commonMedicationsEpinephrine,{commonMedicationsCetirizine (Zyrtec),{commonMedicationsPrednisolone,{commonMedicationsCimetidine,{commonMedicationsLevocetirizine (Xyzal),{commonMedicationsColloidal Oatmeal Topical,{commonMedicationsCalamine Topical,{commonMedicationsTiclopidine],Groups of people at highest risk for allergy include ",age 5-14 years,"age 1-4 years.,Within all the people who go to their doctor with allergy, 85% report having skin rash, 65% report having allergic reaction, and 61% report having itching of skin. ","The symptoms that are highly suggestive of allergy are skin rash, allergic reaction, itching of skin, swollen eye, lip swelling, and swollen tongue, although you may still have allergy without those symptoms.",,,,,,,,,,,,,
